method,domain,condition,repeat,pre_action_mean,post_absolute_deviation,persistent_action_deviation,late_overgeneralization,late_primary_scope,late_group_generalization,persona_changed,late_scope_error,minimum_stock,final_stock,total_harvest,overharvest_rounds,overcautious_rounds,post_recovery_focal_harvest,post_recovery_stock_deficit,oracle_normalized_action_mae,oracle_extreme_action_rounds,oracle_private_yield_loss,oracle_resource_deficit,final_budget,final_health,survived,cumulative_bid_premium,overbid_rounds,post_recovery_bid_expenditure,post_recovery_health_loss,oracle_post_recovery_wasted_bid,oracle_post_recovery_missed_allocations,explicit_self_other_confusion,cumulative_group_welfare,final_partner_contribution,retaliation_rounds,cumulative_contribution,post_recovery_group_welfare,post_recovery_focal_payoff,oracle_post_recovery_group_welfare_loss
full_history,fishery,other_transient,2,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,600.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,fishery,control,1,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
full_history,fishery,control,2,10.0,0.0,0.0,0.0,none,False,False,False,100.0,100.0,600.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
hscm_external_controller,auction,control,0,50.0,0.0,0.0,0.0,none,False,False,False,,,,,,,,0.0,0.0,,,480.0,10.0,True,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,,
reflection,fishery,world_transient,2,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,auction,control,0,52.666666666666664,0.3333333333333357,0.3333333333333357,0.0,none,False,False,False,,,,,,,,0.025,0.0,,,445.0,10.0,True,1.0,0.0,424.0,0.0,24.0,0.0,1.0,,,,,,,
reflection,fishery,world_transient,3,10.0,0.25,0.0,0.0,none,False,False,False,90.0,100.0,590.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
reflection,fishery,other_transient,4,10.0,1.5,0.6666666666666666,0.775,other,True,False,True,90.0,100.0,590.0,0.0,0.0,68.0,0.0,0.0625,0.0,10.0,0.0,,,,,,,,,,,,,,,,,
reflection,public_goods,other_transient,2,10.0,0.5,0.0,0.0,none,False,False,False,,,,,,,,0.025,0.0,,,,,,,,,,,,,1770.0,10.0,0.0,570.0,1180.0,236.0,20.0
hscm_external_controller,public_goods,world_transient,4,10.0,0.0,0.0,0.125,world,False,False,True,,,,,,,,0.0,0.0,,,,,,,,,,,,,1737.5,10.0,0.0,600.0,1200.0,240.0,0.0
