method,domain,condition,repeat,delta_overgeneralization,delta_action_deviation,outcome_metric,outcome_harm,outcome_harm_fraction
full_history,auction,other_transient,0,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,world_transient,0,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,world_transient,1,0.0,5.0,oracle_post_recovery_wasted_bid,40.0,0.07142857142857142
full_history,auction,other_transient,1,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,world_transient,2,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,other_transient,2,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,other_transient,3,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,world_transient,3,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,world_transient,4,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,auction,other_transient,4,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
full_history,fishery,other_transient,0,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,world_transient,0,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,world_transient,1,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,other_transient,1,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,other_transient,2,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,world_transient,2,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,world_transient,3,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,other_transient,3,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,other_transient,4,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,fishery,world_transient,4,0.0,0.0,oracle_private_yield_loss,0.0,0.0
full_history,public_goods,world_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,other_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,world_transient,1,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,other_transient,1,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,other_transient,2,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,world_transient,2,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,other_transient,3,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,world_transient,3,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,world_transient,4,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
full_history,public_goods,other_transient,4,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,auction,world_transient,0,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,auction,other_transient,0,0.0,2.0,oracle_post_recovery_wasted_bid,16.0,0.02857142857142857
hscm_external_controller,auction,world_transient,1,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,auction,other_transient,1,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,auction,other_transient,2,0.0,2.6666666666666643,oracle_post_recovery_wasted_bid,32.0,0.05714285714285714
hscm_external_controller,auction,world_transient,2,0.175,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,auction,world_transient,3,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,auction,other_transient,3,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,auction,world_transient,4,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,auction,other_transient,4,0.0,0.0,oracle_post_recovery_wasted_bid,0.0,0.0
hscm_external_controller,fishery,other_transient,0,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,world_transient,0,0.0,0.0,oracle_private_yield_loss,2.0,0.025
hscm_external_controller,fishery,world_transient,1,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,other_transient,1,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,other_transient,2,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,world_transient,2,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,world_transient,3,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,other_transient,3,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,other_transient,4,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,fishery,world_transient,4,0.0,0.0,oracle_private_yield_loss,0.0,0.0
hscm_external_controller,public_goods,other_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,world_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,other_transient,1,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,world_transient,1,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,other_transient,2,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,world_transient,2,0.125,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,other_transient,3,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,world_transient,3,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,world_transient,4,0.125,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
hscm_external_controller,public_goods,other_transient,4,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0,0.0
reflection,auction,other_transient,0,0.0,0.9999999999999953,oracle_post_recovery_wasted_bid,12.0,0.02142857142857143
reflection,auction,world_transient,0,0.65,8.666666666666666,oracle_post_recovery_wasted_bid,23.0,0.04107142857142857
reflection,auction,world_transient,1,0.65,1.0,oracle_post_recovery_wasted_bid,27.0,0.048214285714285716
reflection,auction,other_transient,1,0.0,1.3333333333333335,oracle_post_recovery_wasted_bid,22.0,0.039285714285714285
reflection,auction,other_transient,2,0.0,0.3333333333333286,oracle_post_recovery_wasted_bid,-8.0,-0.014285714285714285
reflection,auction,world_transient,2,0.275,2.3333333333333286,oracle_post_recovery_wasted_bid,-6.0,-0.010714285714285714
reflection,auction,other_transient,3,0.4,13.333333333333337,oracle_post_recovery_wasted_bid,90.0,0.16071428571428573
reflection,auction,world_transient,3,0.0,5.333333333333336,oracle_post_recovery_wasted_bid,-16.0,-0.02857142857142857
