method,domain,condition,repeat,round,action,stock,group_total,payoff,budget,health,won,premium,total_contribution,group_welfare,partner_level
full_history,fishery,other_transient,2,1,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,2,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,3,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,4,10.0,90.0,60.0,10.0,,,,,,,
full_history,fishery,other_transient,2,5,8.0,100.0,40.0,8.0,,,,,,,
full_history,fishery,other_transient,2,6,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,7,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,8,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,9,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,10,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,11,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,other_transient,2,12,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,1,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,2,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,3,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,4,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,5,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,6,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,7,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,8,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,9,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,10,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,11,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,1,12,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,1,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,2,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,3,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,4,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,5,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,6,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,7,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,8,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,9,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,10,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,11,10.0,100.0,50.0,10.0,,,,,,,
full_history,fishery,control,2,12,10.0,100.0,50.0,10.0,,,,,,,
hscm_external_controller,auction,control,0,1,50.0,,,,590.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,2,50.0,,,,580.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,3,50.0,,,,570.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,4,50.0,,,,560.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,5,50.0,,,,550.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,6,50.0,,,,540.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,7,50.0,,,,530.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,8,50.0,,,,520.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,9,50.0,,,,510.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,10,50.0,,,,500.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,11,50.0,,,,490.0,10.0,True,0.0,,,
hscm_external_controller,auction,control,0,12,50.0,,,,480.0,10.0,True,0.0,,,
reflection,fishery,world_transient,2,1,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,2,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,3,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,4,10.0,90.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,5,8.0,100.0,40.0,8.0,,,,,,,
reflection,fishery,world_transient,2,6,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,7,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,8,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,9,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,10,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,11,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,2,12,10.0,100.0,50.0,10.0,,,,,,,
reflection,auction,control,0,1,50.0,,,,590.0,10.0,True,0.0,,,
reflection,auction,control,0,2,55.0,,,,575.0,10.0,True,1.0,,,
reflection,auction,control,0,3,53.0,,,,562.0,10.0,True,0.0,,,
reflection,auction,control,0,4,53.0,,,,549.0,10.0,True,0.0,,,
reflection,auction,control,0,5,53.0,,,,536.0,10.0,True,0.0,,,
reflection,auction,control,0,6,53.0,,,,523.0,10.0,True,0.0,,,
reflection,auction,control,0,7,53.0,,,,510.0,10.0,True,0.0,,,
reflection,auction,control,0,8,53.0,,,,497.0,10.0,True,0.0,,,
reflection,auction,control,0,9,53.0,,,,484.0,10.0,True,0.0,,,
reflection,auction,control,0,10,53.0,,,,471.0,10.0,True,0.0,,,
reflection,auction,control,0,11,53.0,,,,458.0,10.0,True,0.0,,,
reflection,auction,control,0,12,53.0,,,,445.0,10.0,True,0.0,,,
reflection,fishery,world_transient,3,1,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,2,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,3,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,4,10.0,90.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,5,8.0,100.0,40.0,8.0,,,,,,,
reflection,fishery,world_transient,3,6,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,7,10.0,100.0,50.0,10.0,,,,,,,
reflection,fishery,world_transient,3,8,10.0,100.0,50.0,10.0,,,,,,,
