method,domain,condition,repeat,pre_action_mean,post_absolute_deviation,persistent_action_deviation,late_overgeneralization,late_primary_scope,late_group_generalization,persona_changed,late_scope_error,final_budget,final_health,survived,cumulative_bid_premium,overbid_rounds,oracle_normalized_action_mae,oracle_extreme_action_rounds,oracle_post_recovery_wasted_bid,oracle_post_recovery_missed_allocations,cumulative_group_welfare,final_partner_contribution,retaliation_rounds,cumulative_contribution,oracle_post_recovery_group_welfare_loss,minimum_stock,final_stock,total_harvest,overharvest_rounds,overcautious_rounds,oracle_private_yield_loss,oracle_resource_deficit
full_history,auction,other_transient,0,50.0,0.0,0.0,0.0,none,False,False,False,530.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
full_history,public_goods,world_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,1737.5,10.0,0.0,600.0,0.0,,,,,,,
full_history,auction,world_transient,0,50.0,0.0,0.0,0.0,none,False,False,False,530.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
full_history,fishery,world_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,,,,,,90.0,100.0,590.0,0.0,0.0,0.0,0.0
hscm_external_controller,public_goods,control,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,1800.0,10.0,0.0,600.0,0.0,,,,,,,
hscm_external_controller,fishery,control,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,,,,,,100.0,100.0,600.0,0.0,0.0,0.0,0.0
hscm_external_controller,auction,control,0,50.0,0.0,0.0,0.0,none,False,False,False,480.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
reflection,auction,other_transient,0,51.333333333333336,0.6666666666666643,0.6666666666666643,0.0,none,False,False,False,456.0,10.0,True,0.0,0.0,0.016666666666666666,0.0,16.0,0.0,,,,,,,,,,,,
hscm_external_controller,fishery,other_transient,0,10.0,2.0,2.0,0.0,none,False,False,False,,,,,,0.0875,0.0,,,,,,,,90.0,100.0,586.0,0.0,0.0,14.0,0.0
reflection,fishery,other_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,,,,,,90.0,100.0,600.0,0.0,0.0,0.0,0.0
hscm_external_controller,fishery,world_transient,0,10.0,2.0,2.0,0.0,none,False,False,False,,,,,,0.0875,0.0,,,,,,,,90.0,100.0,576.0,0.0,0.0,14.0,0.0
hscm_external_controller,public_goods,other_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,1790.0,10.0,0.0,590.0,0.0,,,,,,,
full_history,fishery,control,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,,,,,,100.0,100.0,600.0,0.0,0.0,0.0,0.0
full_history,auction,control,0,50.0,0.0,0.0,0.0,none,False,False,False,480.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
reflection,public_goods,control,0,10.0,0.0,0.0,0.575,world,True,False,True,,,,,,0.0,0.0,,,1802.0,10.0,0.0,602.0,0.0,,,,,,,
reflection,public_goods,world_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,1737.5,10.0,0.0,600.0,0.0,,,,,,,
full_history,public_goods,control,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,1800.0,10.0,0.0,600.0,0.0,,,,,,,
reflection,auction,world_transient,0,50.0,13.625,34.666666666666664,0.425,world,False,False,True,625.0,8.0,True,0.0,0.0,0.11354166666666667,2.0,7.0,2.0,,,,,,,,,,,,
full_history,public_goods,other_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,1790.0,10.0,0.0,590.0,0.0,,,,,,,
hscm_external_controller,auction,world_transient,0,50.0,0.0,0.0,0.0,none,False,False,False,530.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
hscm_external_controller,public_goods,world_transient,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,1737.5,10.0,0.0,600.0,0.0,,,,,,,
full_history,fishery,other_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,,,,,,90.0,100.0,600.0,0.0,0.0,0.0,0.0
reflection,auction,control,0,51.333333333333336,37.083333333333336,34.333333333333336,0.65,world,False,False,True,772.0,8.0,True,1.0,0.0,0.29791666666666666,6.0,0.0,6.0,,,,,,,,,,,,
hscm_external_controller,auction,other_transient,0,50.0,0.0,0.0,0.0,none,False,False,False,530.0,10.0,True,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
reflection,public_goods,other_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,,,,,,0.0125,0.0,,,1780.0,10.0,0.0,580.0,10.0,,,,,,,
reflection,fishery,control,0,10.0,0.0,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,,,,,,100.0,100.0,600.0,0.0,0.0,0.0,0.0
reflection,fishery,world_transient,0,10.0,0.25,0.0,0.0,none,False,False,False,,,,,,0.0,0.0,,,,,,,,90.0,100.0,590.0,0.0,0.0,0.0,0.0
