method,domain,condition,repeat,delta_overgeneralization,delta_action_deviation,outcome_metric,outcome_harm
full_history,auction,other_transient,0,0.0,0.0,oracle_post_recovery_wasted_bid,0.0
full_history,auction,world_transient,0,0.0,0.0,oracle_post_recovery_wasted_bid,0.0
full_history,fishery,world_transient,0,0.0,0.0,oracle_private_yield_loss,0.0
full_history,fishery,other_transient,0,0.0,0.0,oracle_private_yield_loss,0.0
full_history,public_goods,world_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0
full_history,public_goods,other_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0
hscm_external_controller,auction,world_transient,0,0.0,0.0,oracle_post_recovery_wasted_bid,0.0
hscm_external_controller,auction,other_transient,0,0.0,0.0,oracle_post_recovery_wasted_bid,0.0
hscm_external_controller,fishery,other_transient,0,0.0,2.0,oracle_private_yield_loss,14.0
hscm_external_controller,fishery,world_transient,0,0.0,2.0,oracle_private_yield_loss,14.0
hscm_external_controller,public_goods,other_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0
hscm_external_controller,public_goods,world_transient,0,0.0,0.0,oracle_post_recovery_group_welfare_loss,0.0
reflection,auction,other_transient,0,-0.65,-33.66666666666667,oracle_post_recovery_wasted_bid,16.0
reflection,auction,world_transient,0,-0.22500000000000003,0.3333333333333286,oracle_post_recovery_wasted_bid,7.0
reflection,fishery,other_transient,0,0.0,0.0,oracle_private_yield_loss,0.0
reflection,fishery,world_transient,0,0.0,0.0,oracle_private_yield_loss,0.0
reflection,public_goods,world_transient,0,-0.575,0.0,oracle_post_recovery_group_welfare_loss,0.0
reflection,public_goods,other_transient,0,-0.575,0.0,oracle_post_recovery_group_welfare_loss,10.0
