method,domain,condition,repeat,round,action,budget,health,won,premium,total_contribution,group_welfare,payoff,partner_level,stock,group_total
full_history,auction,other_transient,0,1,50.0,590.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,2,50.0,580.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,3,50.0,570.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,4,50.0,610.0,9.0,False,0.0,,,,,,
full_history,auction,other_transient,0,5,50.0,600.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,6,50.0,590.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,7,50.0,580.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,8,50.0,570.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,9,50.0,560.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,10,50.0,550.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,11,50.0,540.0,10.0,True,0.0,,,,,,
full_history,auction,other_transient,0,12,50.0,530.0,10.0,True,0.0,,,,,,
full_history,public_goods,world_transient,0,1,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,2,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,3,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,4,10.0,,,,,50.0,87.5,17.5,10.0,,
full_history,public_goods,world_transient,0,5,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,6,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,7,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,8,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,9,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,10,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,11,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,public_goods,world_transient,0,12,10.0,,,,,50.0,150.0,30.0,10.0,,
full_history,auction,world_transient,0,1,50.0,590.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,2,50.0,580.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,3,50.0,570.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,4,50.0,610.0,9.0,False,0.0,,,,,,
full_history,auction,world_transient,0,5,50.0,600.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,6,50.0,590.0,10.0,True,0.0,,,,,,
full_history,auction,world_transient,0,7,50.0,580.0,10.0,True,0.0,,,,,,
